,cpd00067_k1285,cpd00106_k1285,cpd00075_k1285,cpd00058_k1285,cpd00001_k1285,cpd00013_k1285,cpd00205_k1285,cpd00009_k1285,cpd00305_k1285,cpd00048_k1285,cpd00209_k1285,cpd00254_k1285,cpd10515_k1285,cpd00149_k1285,cpd00034_k1285,cpd00020_k1285,cpd00029_k1285,cpd00047_k1285,cpd00011_k1285,cpd00071_k1285,cpd00081_k1285,cpd01981_k1285,cpd00063_k1285,cpd00030_k1285,cpd00099_k1285,cpd00659_k1285,cpd00239_k1285,cpd00036_k1285,cpd00027_k1285,cpd00363_k1285,cpd00528_k1285,cpd00067_k1350,cpd00106_k1350,cpd00075_k1350,cpd00058_k1350,cpd00001_k1350,cpd00013_k1350,cpd00205_k1350,cpd00009_k1350,cpd00305_k1350,cpd00048_k1350,cpd00209_k1350,cpd00254_k1350,cpd10515_k1350,cpd00149_k1350,cpd00034_k1350,cpd00020_k1350,cpd00029_k1350,cpd00047_k1350,cpd00011_k1350,cpd00071_k1350,cpd00081_k1350,cpd01981_k1350,cpd00063_k1350,cpd00030_k1350,cpd00099_k1350,cpd00659_k1350,cpd00239_k1350,cpd00036_k1350,cpd00027_k1350,cpd00363_k1350,cpd00528_k1350,cpd00067_k1400,cpd00106_k1400,cpd00075_k1400,cpd00058_k1400,cpd00001_k1400,cpd00013_k1400,cpd00205_k1400,cpd00009_k1400,cpd00305_k1400,cpd00048_k1400,cpd00209_k1400,cpd00254_k1400,cpd10515_k1400,cpd00149_k1400,cpd00034_k1400,cpd00020_k1400,cpd00029_k1400,cpd00047_k1400,cpd00011_k1400,cpd00071_k1400,cpd00081_k1400,cpd01981_k1400,cpd00063_k1400,cpd00030_k1400,cpd00099_k1400,cpd00659_k1400,cpd00239_k1400,cpd00036_k1400,cpd00027_k1400,cpd00363_k1400,cpd00528_k1400,cpd00067_k1450,cpd00106_k1450,cpd00075_k1450,cpd00058_k1450,cpd00001_k1450,cpd00013_k1450,cpd00205_k1450,cpd00009_k1450,cpd00305_k1450,cpd00048_k1450,cpd00209_k1450,cpd00254_k1450,cpd10515_k1450,cpd00149_k1450,cpd00034_k1450,cpd00020_k1450,cpd00029_k1450,cpd00047_k1450,cpd00011_k1450,cpd00071_k1450,cpd00081_k1450,cpd01981_k1450,cpd00063_k1450,cpd00030_k1450,cpd00099_k1450,cpd00659_k1450,cpd00239_k1450,cpd00036_k1450,cpd00027_k1450,cpd00363_k1450,cpd00528_k1450,cpd00067_k1500,cpd00106_k1500,cpd00075_k1500,cpd00058_k1500,cpd00001_k1500,cpd00013_k1500,cpd00205_k1500,cpd00009_k1500,cpd00305_k1500,cpd00048_k1500,cpd00209_k1500,cpd00254_k1500,cpd10515_k1500,cpd00149_k1500,cpd00034_k1500,cpd00020_k1500,cpd00029_k1500,cpd00047_k1500,cpd00011_k1500,cpd00071_k1500,cpd00081_k1500,cpd01981_k1500,cpd00063_k1500,cpd00030_k1500,cpd00099_k1500,cpd00659_k1500,cpd00239_k1500,cpd00036_k1500,cpd00027_k1500,cpd00363_k1500,cpd00528_k1500,cpd00067_k1600,cpd00106_k1600,cpd00075_k1600,cpd00058_k1600,cpd00001_k1600,cpd00013_k1600,cpd00205_k1600,cpd00009_k1600,cpd00305_k1600,cpd00048_k1600,cpd00209_k1600,cpd00254_k1600,cpd10515_k1600,cpd00149_k1600,cpd00034_k1600,cpd00020_k1600,cpd00029_k1600,cpd00047_k1600,cpd00011_k1600,cpd00071_k1600,cpd00081_k1600,cpd01981_k1600,cpd00063_k1600,cpd00030_k1600,cpd00099_k1600,cpd00659_k1600,cpd00239_k1600,cpd00036_k1600,cpd00027_k1600,cpd00363_k1600,cpd00528_k1600,cpd00067_k1750,cpd00106_k1750,cpd00075_k1750,cpd00058_k1750,cpd00001_k1750,cpd00013_k1750,cpd00205_k1750,cpd00009_k1750,cpd00305_k1750,cpd00048_k1750,cpd00209_k1750,cpd00254_k1750,cpd10515_k1750,cpd00149_k1750,cpd00034_k1750,cpd00020_k1750,cpd00029_k1750,cpd00047_k1750,cpd00011_k1750,cpd00071_k1750,cpd00081_k1750,cpd01981_k1750,cpd00063_k1750,cpd00030_k1750,cpd00099_k1750,cpd00659_k1750,cpd00239_k1750,cpd00036_k1750,cpd00027_k1750,cpd00363_k1750,cpd00528_k1750,cpd00067_k2000,cpd00106_k2000,cpd00075_k2000,cpd00058_k2000,cpd00001_k2000,cpd00013_k2000,cpd00205_k2000,cpd00009_k2000,cpd00305_k2000,cpd00048_k2000,cpd00209_k2000,cpd00254_k2000,cpd10515_k2000,cpd00149_k2000,cpd00034_k2000,cpd00020_k2000,cpd00029_k2000,cpd00047_k2000,cpd00011_k2000,cpd00071_k2000,cpd00081_k2000,cpd01981_k2000,cpd00063_k2000,cpd00030_k2000,cpd00099_k2000,cpd00659_k2000,cpd00239_k2000,cpd00036_k2000,cpd00027_k2000,cpd00363_k2000,cpd00528_k2000,cpd00067_k2250,cpd00106_k2250,cpd00075_k2250,cpd00058_k2250,cpd00001_k2250,cpd00013_k2250,cpd00205_k2250,cpd00009_k2250,cpd00305_k2250,cpd00048_k2250,cpd00209_k2250,cpd00254_k2250,cpd10515_k2250,cpd00149_k2250,cpd00034_k2250,cpd00020_k2250,cpd00029_k2250,cpd00047_k2250,cpd00011_k2250,cpd00071_k2250,cpd00081_k2250,cpd01981_k2250,cpd00063_k2250,cpd00030_k2250,cpd00099_k2250,cpd00659_k2250,cpd00239_k2250,cpd00036_k2250,cpd00027_k2250,cpd00363_k2250,cpd00528_k2250,cpd00067_k2500,cpd00106_k2500,cpd00075_k2500,cpd00058_k2500,cpd00001_k2500,cpd00013_k2500,cpd00205_k2500,cpd00009_k2500,cpd00305_k2500,cpd00048_k2500,cpd00209_k2500,cpd00254_k2500,cpd10515_k2500,cpd00149_k2500,cpd00034_k2500,cpd00020_k2500,cpd00029_k2500,cpd00047_k2500,cpd00011_k2500,cpd00071_k2500,cpd00081_k2500,cpd01981_k2500,cpd00063_k2500,cpd00030_k2500,cpd00099_k2500,cpd00659_k2500,cpd00239_k2500,cpd00036_k2500,cpd00027_k2500,cpd00363_k2500,cpd00528_k2500
3H11,-26.607657,6.732116,81.826071,-0.001185,64.861179,-5.925537,-0.001185,-0.489433,-0.001185,-0.192088,-81.826071,-0.001185,-0.004739,-0.001185,-0.001185,-0.32233,-44.602094,-0.003088,36.940607,-0.007469,0.039221,0.001185,-0.001185,-0.001185,-0.001185,0,0,0,0,0,0,-19.902596,6.076257,64.265008,-0.000882,50.899672,-4.410211,-0.000882,-0.364271,-0.000882,-0.000882,-64.265008,-0.000882,-0.003527,-0.000882,-0.000882,0,-35.805893,-0.005205,27.74781,-0.012591,0,0.000882,-0.000882,-0.000882,-0.000882,0,-0.112893,0,0,0,0,-16.529638,5.596397,54.759104,-0.000724,43.391368,-3.619953,-0.000724,-0.298998,-0.000724,-0.000724,-54.759104,-0.000724,-0.002895,-0.000724,-0.000724,0,-30.799102,-0.00629,23.170178,-0.015216,0,0.000724,-0.000724,-0.000724,-0.000724,0,-0.092664,0,0,0,0,-13.62102,4.993772,46.161362,-0.000588,36.538054,-2.942099,-0.000588,-0.243009,-0.000588,-0.000588,-46.161362,-0.000588,-0.002353,-0.000588,-0.000588,0,-26.107027,-0.007197,19.212726,-0.01741,0,0.000588,-0.000588,-0.000588,-0.000588,0,-0.075312,0,0,0,0,-10.427265,20.10165,48.719619,-0.000529,43.700993,-2.645674,-0.000529,-0.218526,-0.000529,-0.000529,-48.719619,-0.000529,-0.002116,-0.000529,-0.000529,0,-19.394646,-0.007935,13.639807,-0.019195,0,0.000529,-0.000529,-0.000529,-0.000529,0,-0.067724,-16.740596,0,0,0,7.318796,33.183124,58.27163,-0.00055,58.424474,-2.748443,-0.00055,-0.227014,-0.00055,-0.00055,-58.27163,-0.00055,-0.002198,-0.00055,-0.00055,-3.176869,-17.317355,-0.008243,0,0,0,0.00055,-0.00055,-0.00055,-0.00055,0,-0.070355,-20.442858,-0.224876,-8.82316,0,8.195201,32.981606,62.831014,-0.000559,62.240806,-2.797497,-0.000559,-0.231066,-0.000559,-0.000559,-62.831014,-0.000559,-0.002237,-0.000559,-0.000559,-3.233569,-22.523782,-0.00839,0,0,0,0.000559,-0.000559,-0.000559,-0.000559,0,-0.071611,-17.192388,-0.22889,-9.726415,0,9.727528,32.629267,70.802743,-0.000577,68.913366,-2.883264,-0.000577,-0.23815,-0.000577,-0.000577,-70.802743,-0.000577,-0.002306,-0.000577,-0.000577,-3.332706,-31.626817,-0.008648,0,0,0,0.000577,-0.000577,-0.000577,-0.000577,0,-0.073806,-11.509194,-0.235907,-11.305686,0,11.356784,32.254641,79.278734,-0.000595,76.008007,-2.974456,-0.000595,-0.245682,-0.000595,-0.000595,-79.278734,-0.000595,-0.002379,-0.000595,-0.000595,-3.438113,-41.305676,-0.008921,0,0,0,0.000595,-0.000595,-0.000595,-0.000595,0,-0.076141,-5.466502,-0.243368,-12.984856,0,2.884093,28.859648,84.192,-0.000605,75.950345,-3.027317,-0.000605,-0.250048,-0.000605,-0.193432,-84.192,-0.000605,-0.002421,-0.000605,-0.000605,-7.553035,-49.483527,-0.00908,9.9141,0,0.192826,0.000605,-0.000605,-0.000605,-0.000605,0,-0.077494,-0.087486,0,-8.407146,0
R12,-32.538239,-6.732116,-18.477063,-0.000309,19.9606,-1.544242,-0.000309,-0.12755,-0.000309,-0.000309,-2.365929,-0.000309,-0.001235,-0.000309,-0.000309,0.32233,0.128094,0.003088,18.829876,0.007469,-0.039221,0,-0.000309,-0.000309,-0.000309,10.421496,0,0,0,0,0,-44.076857,-6.076257,-5.372868,-0.00052,37.040787,-2.603048,-0.00052,-0.215005,-0.00052,-0.179526,-19.926992,-0.00052,-0.002082,-0.00052,-0.00052,0,-8.668107,0.005205,30.051722,0.012591,0,0,-0.00052,-0.00052,-0.00052,12.64993,0.112893,0,0,0,0,-54.735891,-5.596397,-7.614775,-0.000629,48.572585,-3.145831,-0.000629,-0.259837,-0.000629,-0.173191,-24.766949,-0.000629,-0.002516,-0.000629,-0.000629,0,-13.674898,0.00629,35.729244,0.015216,0,0,-0.000629,-0.000629,-0.000629,16.190862,0.092664,0,0,0,0,-65.120182,-4.993772,-11.408945,-0.00072,59.508475,-3.599412,-0.00072,-0.297302,-0.00072,-0.167451,-28.263372,-0.00072,-0.002879,-0.00072,-0.00072,0,-18.366973,0.007197,40.683415,0.01741,0,0,-0.00072,-0.00072,-0.00072,19.836158,0.075312,0,0,0,0,-60.949635,-20.10165,-0.06663,-0.000793,48.552293,-3.968512,-0.000793,-0.327788,-0.000793,-0.169311,-32.301566,-0.000793,-0.003174,-0.000793,-0.000793,0,-25.079354,0.007935,45.93397,0.019195,0,0,-0.000793,-0.000793,-0.000793,16.184098,0.067724,16.740596,0,0,0,-63.909657,-33.183124,8.125919,-0.000824,26.041673,-4.122665,-0.000824,-0.340521,-0.000824,-0.175888,-25.92037,-0.000824,-0.003297,-0.000824,-0.000824,3.176869,-27.156645,0.008243,58.432761,0,0,0,-0.000824,-0.000824,-0.000824,0,0.070355,20.442858,0.224876,8.82316,8.897225,-63.887378,-32.981606,4.363887,-0.000839,21.587877,-4.196246,-0.000839,-0.346599,-0.000839,-0.179027,-21.360986,-0.000839,-0.003356,-0.000839,-0.000839,3.233569,-21.950218,0.00839,57.888129,0,0,0,-0.000839,-0.000839,-0.000839,0,0.071611,17.192388,0.22889,9.726415,8.49855,-63.848424,-32.629267,-2.213735,-0.000865,13.800761,-4.324896,-0.000865,-0.357225,-0.000865,-0.184515,-13.389257,-0.000865,-0.003459,-0.000865,-0.000865,3.332706,-12.847183,0.008648,56.935882,0,0,0,-0.000865,-0.000865,-0.000865,0,0.073806,11.509194,0.235907,11.305686,7.801496,-63.807007,-32.254641,-9.207433,-0.000892,5.521062,-4.461684,-0.000892,-0.368523,-0.000892,-0.190351,-4.913266,-0.000892,-0.003568,-0.000892,-0.000892,3.438113,-3.168324,0.008921,55.9234,0,0,0,-0.000892,-0.000892,-0.000892,0,0.076141,5.466502,0.243368,12.984856,7.060349,-54.365879,-28.859648,-13.261459,-0.000908,4.891782,-4.540976,-0.000908,-0.375072,-0.000908,-0.000908,0,-0.000908,-0.003632,-0.000908,-0.000908,7.553035,5.009527,0.00908,45.422395,0,-0.192826,0,-0.000908,-0.000908,-0.000908,0,0.077494,0.087486,0,8.407146,6.63073
