kinetic_coeff,community_biomass_1_per_h,dG_3H11_kcal_per_gDW_biomass,dG_3H11_kcal_per_gDW_h,3H11_ATP_production_mmol_per_gDW_h,3H11_ATP_consumption_mmol_per_gDW_h,dG_R12_kcal_per_gDW_biomass,dG_R12_kcal_per_gDW_h,R12_N2O_out_mmol_per_gDW_biomass,R12_N2_out_mmol_per_gDW_biomass,R12_NO3_in_mmol_per_gDW_biomass,R12_H2S_out_mmol_per_gDW_biomass,R12_ATP_production_mmol_per_gDW_h,R12_ATP_consumption_mmol_per_gDW_h,fit_NRMSE_vs_SynCom_timecourse
250,0.0,,,,,,,,,,,,,0.5955
500,0.0,,,,,,,,,,,,,0.5955
750,0.0,,,,,,,,,,,,,0.5955
1000,0.0,,,,,,,,,,,,,0.5955
1250,0.0,,,,,,,,,,,,,0.5955
1284,0.0,,,,,,,,,,,,,0.5955
1285,0.32162,-3.364,-2.4908,148.218,148.218,-6.625,-1.2784,54.0,0,12.26,0,28.2129,28.2129,4.3074
1350,0.54214,-3.513,-1.9362,116.2397,116.2397,-6.346,-2.0644,38.89,0,61.26,0.35,47.0075,47.0075,6.6517
1400,0.65519,-3.63,-1.642,98.9228,98.9228,-6.556,-2.5774,41.19,0,63.0,0.24,56.9434,56.9434,8.5466
1450,0.74966,-3.751,-1.3791,83.2742,83.2742,-6.795,-3.0562,44.1,0,62.84,0.17,65.7537,65.7537,10.5518
1500,0.82653,-3.89,-1.2861,67.11,67.11,-6.01,-2.9803,32.63,0,65.13,0.14,75.8303,75.8303,10.1151
1600,0.85864,-4.507,-1.5479,66.013,66.013,-5.109,-2.632,0,17.27,50.31,0.14,79.774,79.774,8.6054
1750,0.87396,-4.829,-1.6881,76.9168,76.9168,-4.624,-2.425,0,16.21,40.74,0.14,75.2518,75.2518,8.7563
2000,0.90076,-5.365,-1.9331,95.9813,95.9813,-3.817,-2.063,0,14.44,24.77,0.14,67.345,67.345,9.0201
2250,0.92925,-5.902,-2.1936,116.2517,116.2517,-3.01,-1.6781,0,12.66,8.81,0.14,58.9382,58.9382,9.3006
2500,0.94576,-6.294,-2.381,131.2028,131.2028,-2.5,-1.4187,0,11.69,0.0,0.14,55.2495,55.2495,9.4632
2750,0.94576,-6.294,-2.381,131.2028,131.2028,-2.359,-1.3389,17.53,0,0.0,0.14,55.2495,55.2495,10.3105
3000,0.94576,-6.294,-2.381,131.2028,131.2028,-2.359,-1.3389,17.53,0,0.0,0.14,55.2495,55.2495,10.3105
